English Premier League 1998/1999
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1998-08-07 00:00:00,Bournemouth,Lincoln City,2,0
1,1998-08-07 00:00:00,Burnley,Bristol Rovers,2,1
1,1998-08-07 00:00:00,Colchester,Chesterfield,1,0
1,1998-08-07 00:00:00,Gillingham FC,Walsall,0,1
1,1998-08-07 00:00:00,Macclesfield,Fulham,0,1
1,1998-08-07 00:00:00,Manchester City,Blackpool,3,0
1,1998-08-07 00:00:00,Northampton,Stoke City,1,3
1,1998-08-07 00:00:00,Oldham,Notts County,1,3
1,1998-08-07 00:00:00,Preston,York,3,0
1,1998-08-07 00:00:00,Wigan,Millwall,0,1
1,1998-08-07 00:00:00,Wrexham,Reading,3,0
1,1998-08-07 00:00:00,Wycombe,Luton,0,1
2,1998-08-13 00:00:00,Fulham,Manchester City,3,0
2,1998-08-14 00:00:00,Blackpool,Oldham,3,0
2,1998-08-14 00:00:00,Bristol Rovers,Reading,4,1
2,1998-08-14 00:00:00,Chesterfield,Burnley,1,0
2,1998-08-14 00:00:00,Lincoln City,Wigan,1,0
2,1998-08-14 00:00:00,Luton,Preston,1,1
2,1998-08-14 00:00:00,Millwall,Wycombe,2,1
2,1998-08-14 00:00:00,Notts County,Bournemouth,1,2
2,1998-08-14 00:00:00,Stoke City,Macclesfield,2,0
2,1998-08-14 00:00:00,Walsall,Northampton,0,0
2,1998-08-14 00:00:00,Wrexham,Colchester,2,4
2,1998-08-14 00:00:00,York,Gillingham FC,1,1
3,1998-08-21 00:00:00,Bournemouth,Millwall,3,0
3,1998-08-21 00:00:00,Burnley,York,0,1
3,1998-08-21 00:00:00,Colchester,Fulham,0,1
3,1998-08-21 00:00:00,Gillingham FC,Bristol Rovers,0,0
3,1998-08-21 00:00:00,Macclesfield,Lincoln City,0,0
3,1998-08-21 00:00:00,Manchester City,Wrexham,0,0
3,1998-08-21 00:00:00,Northampton,Notts County,1,1
3,1998-08-21 00:00:00,Oldham,Chesterfield,2,0
3,1998-08-21 00:00:00,Preston,Stoke City,3,4
3,1998-08-21 00:00:00,Reading,Luton,3,0
3,1998-08-21 00:00:00,Wigan,Blackpool,3,0
3,1998-08-21 00:00:00,Wycombe,Walsall,1,2
4,1998-08-28 00:00:00,Blackpool,Gillingham FC,2,2
4,1998-08-28 00:00:00,Bristol Rovers,Wigan,3,2
4,1998-08-28 00:00:00,Chesterfield,Reading,1,0
4,1998-08-28 00:00:00,Fulham,Bournemouth,0,0
4,1998-08-28 00:00:00,Lincoln City,Preston,3,4
4,1998-08-28 00:00:00,Luton,Colchester,2,0
4,1998-08-28 00:00:00,Millwall,Macclesfield,0,0
4,1998-08-28 00:00:00,Notts County,Manchester City,1,1
4,1998-08-28 00:00:00,Stoke City,Oldham,2,0
4,1998-08-28 00:00:00,Walsall,Burnley,3,1
4,1998-08-28 00:00:00,Wrexham,Northampton,1,0
4,1998-08-28 00:00:00,York,Wycombe,3,0
5,1998-08-30 00:00:00,Colchester,Stoke City,0,1
5,1998-08-30 00:00:00,Macclesfield,Notts County,0,1
5,1998-08-30 00:00:00,Northampton,Lincoln City,0,0
5,1998-08-30 00:00:00,Oldham,Fulham,1,1
5,1998-08-30 00:00:00,Preston,Chesterfield,2,0
5,1998-08-30 00:00:00,Wigan,Luton,1,3
5,1998-08-30 00:00:00,Wycombe,Bristol Rovers,1,1
5,1998-08-31 00:00:00,Bournemouth,Blackpool,1,1
5,1998-08-31 00:00:00,Burnley,Millwall,2,1
5,1998-08-31 00:00:00,Gillingham FC,Wrexham,4,0
5,1998-09-01 00:00:00,Manchester City,Walsall,3,1
6,1998-09-04 00:00:00,Blackpool,Northampton,2,1
6,1998-09-04 00:00:00,Bristol Rovers,Preston,2,2
6,1998-09-04 00:00:00,Chesterfield,Gillingham FC,1,0
6,1998-09-04 00:00:00,Lincoln City,Oldham,1,3
6,1998-09-04 00:00:00,Luton,Burnley,1,0
6,1998-09-04 00:00:00,Notts County,Wigan,0,1
6,1998-09-04 00:00:00,Stoke City,Bournemouth,2,0
6,1998-09-04 00:00:00,Wrexham,Macclesfield,2,1
6,1998-09-04 00:00:00,York,Colchester,1,2
7,1998-09-07 00:00:00,Blackpool,Notts County,1,0
7,1998-09-07 00:00:00,Bristol Rovers,Chesterfield,0,0
7,1998-09-07 00:00:00,Fulham,Stoke City,1,0
7,1998-09-07 00:00:00,Gillingham FC,Northampton,2,3
7,1998-09-07 00:00:00,Manchester City,Bournemouth,2,1
7,1998-09-07 00:00:00,Oldham,Macclesfield,1,2
7,1998-09-07 00:00:00,Walsall,York,2,3
7,1998-09-07 00:00:00,Wigan,Colchester,1,1
7,1998-09-07 00:00:00,Wrexham,Luton,1,1
7,1998-09-07 00:00:00,Wycombe,Preston,0,1
7,1998-09-08 00:00:00,Millwall,Lincoln City,2,0
7,1998-09-08 00:00:00,Reading,Burnley,1,1
8,1998-09-11 00:00:00,Bournemouth,Wigan,1,0
8,1998-09-11 00:00:00,Burnley,Wycombe,1,1
8,1998-09-11 00:00:00,Chesterfield,Walsall,0,1
8,1998-09-11 00:00:00,Colchester,Gillingham FC,1,1
8,1998-09-11 00:00:00,Lincoln City,Blackpool,1,2
8,1998-09-11 00:00:00,Luton,Bristol Rovers,2,0
8,1998-09-11 00:00:00,Macclesfield,Manchester City,0,1
8,1998-09-11 00:00:00,Northampton,Oldham,1,1
8,1998-09-11 00:00:00,Notts County,Fulham,1,0
8,1998-09-11 00:00:00,Preston,Reading,4,0
8,1998-09-11 00:00:00,Stoke City,Millwall,1,0
8,1998-09-11 00:00:00,York,Wrexham,1,1
9,1998-09-17 00:00:00,Walsall,Notts County,3,2
9,1998-09-18 00:00:00,Blackpool,Luton,1,0
9,1998-09-18 00:00:00,Bristol Rovers,Lincoln City,3,0
9,1998-09-18 00:00:00,Fulham,York,3,3
9,1998-09-18 00:00:00,Gillingham FC,Burnley,2,1
9,1998-09-18 00:00:00,Manchester City,Chesterfield,1,1
9,1998-09-18 00:00:00,Millwall,Northampton,2,1
9,1998-09-18 00:00:00,Oldham,Preston,0,1
9,1998-09-18 00:00:00,Reading,Colchester,1,1
9,1998-09-18 00:00:00,Wigan,Macclesfield,2,0
9,1998-09-18 00:00:00,Wrexham,Stoke City,0,1
9,1998-09-18 00:00:00,Wycombe,Bournemouth,0,2
10,1998-09-25 00:00:00,Bournemouth,Oldham,2,0
10,1998-09-25 00:00:00,Burnley,Wigan,1,1
10,1998-09-25 00:00:00,Chesterfield,Wrexham,2,1
10,1998-09-25 00:00:00,Colchester,Wycombe,2,1
10,1998-09-25 00:00:00,Lincoln City,Fulham,1,2
10,1998-09-25 00:00:00,Luton,Walsall,0,1
10,1998-09-25 00:00:00,Macclesfield,Reading,2,1
10,1998-09-25 00:00:00,Northampton,Manchester City,2,2
10,1998-09-25 00:00:00,Notts County,Millwall,3,1
10,1998-09-25 00:00:00,Preston,Gillingham FC,1,1
10,1998-09-25 00:00:00,Stoke City,Blackpool,1,3
10,1998-09-25 00:00:00,York,Bristol Rovers,1,0
11,1998-10-02 00:00:00,Blackpool,York,1,2
11,1998-10-02 00:00:00,Bristol Rovers,Bournemouth,1,0
11,1998-10-02 00:00:00,Fulham,Luton,1,3
11,1998-10-02 00:00:00,Gillingham FC,Macclesfield,2,2
11,1998-10-02 00:00:00,Manchester City,Burnley,2,2
11,1998-10-02 00:00:00,Millwall,Chesterfield,0,0
11,1998-10-02 00:00:00,Oldham,Colchester,1,0
11,1998-10-02 00:00:00,Reading,Stoke City,2,1
