English Premier League 1998/1999
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1998-08-14 00:00:00,Blackburn,Derby,0,0
1,1998-08-14 00:00:00,Coventry,Chelsea,2,1
1,1998-08-14 00:00:00,Everton,Aston Villa,0,0
1,1998-08-14 00:00:00,Manchester United,Leicester,2,2
1,1998-08-14 00:00:00,Middlesbrough,Leeds,0,0
1,1998-08-14 00:00:00,Newcastle Utd,Charlton,0,0
1,1998-08-14 00:00:00,Sheffield Wed,West Ham,0,1
1,1998-08-14 00:00:00,Wimbledon FC,Tottenham,3,1
1,1998-08-15 00:00:00,Southampton,Liverpool,1,2
1,1998-08-16 00:00:00,Arsenal,Nottingham,2,1
2,1998-08-21 00:00:00,Aston Villa,Middlesbrough,3,1
2,1998-08-21 00:00:00,Charlton,Southampton,5,0
2,1998-08-21 00:00:00,Chelsea,Newcastle Utd,1,1
2,1998-08-21 00:00:00,Derby,Wimbledon FC,0,0
2,1998-08-21 00:00:00,Leicester,Everton,2,0
2,1998-08-21 00:00:00,Liverpool,Arsenal,0,0
2,1998-08-21 00:00:00,Nottingham,Coventry,1,0
2,1998-08-21 00:00:00,Tottenham,Sheffield Wed,0,3
2,1998-08-21 00:00:00,West Ham,Manchester United,0,0
2,1998-08-23 00:00:00,Leeds,Blackburn,1,0
3,1998-08-28 00:00:00,Arsenal,Charlton,0,0
3,1998-08-28 00:00:00,Blackburn,Leicester,1,0
3,1998-08-28 00:00:00,Coventry,West Ham,0,0
3,1998-08-28 00:00:00,Everton,Tottenham,0,1
3,1998-08-28 00:00:00,Middlesbrough,Derby,1,1
3,1998-08-28 00:00:00,Sheffield Wed,Aston Villa,0,1
3,1998-08-28 00:00:00,Southampton,Nottingham,1,2
3,1998-08-28 00:00:00,Wimbledon FC,Leeds,1,1
3,1998-08-29 00:00:00,Newcastle Utd,Liverpool,1,4
4,1998-09-07 00:00:00,Leeds,Southampton,3,0
4,1998-09-07 00:00:00,Manchester United,Charlton,4,1
4,1998-09-07 00:00:00,Nottingham,Everton,0,2
4,1998-09-08 00:00:00,Aston Villa,Newcastle Utd,1,0
4,1998-09-08 00:00:00,Chelsea,Arsenal,0,0
4,1998-09-08 00:00:00,Derby,Sheffield Wed,1,0
4,1998-09-08 00:00:00,Leicester,Middlesbrough,0,1
4,1998-09-08 00:00:00,Liverpool,Coventry,2,0
4,1998-09-08 00:00:00,Tottenham,Blackburn,2,1
4,1998-09-08 00:00:00,West Ham,Wimbledon FC,3,4
5,1998-09-11 00:00:00,Aston Villa,Wimbledon FC,2,0
5,1998-09-11 00:00:00,Charlton,Derby,1,2
5,1998-09-11 00:00:00,Chelsea,Nottingham,2,1
5,1998-09-11 00:00:00,Everton,Leeds,0,0
5,1998-09-11 00:00:00,Leicester,Arsenal,1,1
5,1998-09-11 00:00:00,Manchester United,Coventry,2,0
5,1998-09-11 00:00:00,Newcastle Utd,Southampton,4,0
5,1998-09-11 00:00:00,Sheffield Wed,Blackburn,3,0
5,1998-09-11 00:00:00,West Ham,Liverpool,2,1
5,1998-09-12 00:00:00,Tottenham,Middlesbrough,0,3
6,1998-09-18 00:00:00,Coventry,Newcastle Utd,1,5
6,1998-09-18 00:00:00,Derby,Leicester,2,0
6,1998-09-18 00:00:00,Leeds,Aston Villa,0,0
6,1998-09-18 00:00:00,Liverpool,Charlton,3,3
6,1998-09-18 00:00:00,Middlesbrough,Everton,2,2
6,1998-09-18 00:00:00,Nottingham,West Ham,0,0
6,1998-09-18 00:00:00,Southampton,Tottenham,1,1
6,1998-09-18 00:00:00,Wimbledon FC,Sheffield Wed,2,1
6,1998-09-19 00:00:00,Arsenal,Manchester United,3,0
6,1998-09-20 00:00:00,Blackburn,Chelsea,3,4
7,1998-09-23 00:00:00,Manchester United,Liverpool,2,0
7,1998-09-25 00:00:00,Aston Villa,Derby,1,0
7,1998-09-25 00:00:00,Charlton,Coventry,1,1
7,1998-09-25 00:00:00,Chelsea,Middlesbrough,2,0
7,1998-09-25 00:00:00,Everton,Blackburn,0,0
7,1998-09-25 00:00:00,Newcastle Utd,Nottingham,2,0
7,1998-09-25 00:00:00,Sheffield Wed,Arsenal,1,0
7,1998-09-25 00:00:00,Tottenham,Leeds,3,3
7,1998-09-26 00:00:00,Leicester,Wimbledon FC,1,1
7,1998-09-27 00:00:00,West Ham,Southampton,1,0
8,1998-10-02 00:00:00,Blackburn,West Ham,3,0
8,1998-10-02 00:00:00,Coventry,Aston Villa,1,2
