English League 2 1999/2000
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1999-08-06 00:00:00,Brighton,Mansfield,6,0
1,1999-08-06 00:00:00,Carlisle,Leyton Orient,2,1
1,1999-08-06 00:00:00,Cheltenham,Rochdale,0,2
1,1999-08-06 00:00:00,Chester,Barnet,0,2
1,1999-08-06 00:00:00,Exeter,Hull City,1,0
1,1999-08-06 00:00:00,Halifax,Darlington,0,1
1,1999-08-06 00:00:00,Lincoln City,Rotherham,2,1
1,1999-08-06 00:00:00,Macclesfield,Northampton,1,0
1,1999-08-06 00:00:00,Peterborough,Hartlepool,2,1
1,1999-08-06 00:00:00,Shrewsbury,Torquay,1,2
1,1999-08-06 00:00:00,Southend,Plymouth,2,1
1,1999-08-06 00:00:00,York,Swansea,1,0
2,1999-08-13 00:00:00,Barnet,Exeter,2,2
2,1999-08-13 00:00:00,Darlington,Macclesfield,3,0
2,1999-08-13 00:00:00,Hartlepool,Halifax,0,2
2,1999-08-13 00:00:00,Hull City,Lincoln City,1,1
2,1999-08-13 00:00:00,Leyton Orient,Brighton,1,2
2,1999-08-13 00:00:00,Mansfield,Cheltenham,0,1
2,1999-08-13 00:00:00,Northampton,Peterborough,0,1
2,1999-08-13 00:00:00,Plymouth,Shrewsbury,0,0
2,1999-08-13 00:00:00,Rochdale,Southend,2,0
2,1999-08-13 00:00:00,Rotherham,Chester,4,0
2,1999-08-13 00:00:00,Swansea,Carlisle,1,0
2,1999-08-13 00:00:00,Torquay,York,0,0
3,1999-08-17 00:00:00,Chester,Northampton,0,2
3,1999-08-20 00:00:00,Brighton,Torquay,0,1
3,1999-08-20 00:00:00,Carlisle,Hartlepool,0,3
3,1999-08-20 00:00:00,Cheltenham,Hull City,1,0
3,1999-08-20 00:00:00,Exeter,Rotherham,3,1
3,1999-08-20 00:00:00,Halifax,Plymouth,0,1
3,1999-08-20 00:00:00,Lincoln City,Barnet,0,0
3,1999-08-20 00:00:00,Macclesfield,Swansea,1,2
3,1999-08-20 00:00:00,Peterborough,Leyton Orient,2,1
3,1999-08-20 00:00:00,Shrewsbury,Darlington,0,1
3,1999-08-20 00:00:00,Southend,Mansfield,1,0
3,1999-08-20 00:00:00,York,Rochdale,0,3
4,1999-08-26 00:00:00,Northampton,Lincoln City,1,0
4,1999-08-27 00:00:00,Barnet,York,6,3
4,1999-08-27 00:00:00,Darlington,Brighton,1,1
4,1999-08-27 00:00:00,Hartlepool,Cheltenham,0,1
4,1999-08-27 00:00:00,Hull City,Macclesfield,2,3
4,1999-08-27 00:00:00,Leyton Orient,Halifax,1,0
4,1999-08-27 00:00:00,Mansfield,Carlisle,1,1
4,1999-08-27 00:00:00,Plymouth,Peterborough,2,1
4,1999-08-27 00:00:00,Rochdale,Exeter,0,2
4,1999-08-27 00:00:00,Rotherham,Shrewsbury,4,0
4,1999-08-27 00:00:00,Swansea,Southend,3,1
4,1999-08-27 00:00:00,Torquay,Chester,2,2
5,1999-08-29 00:00:00,Carlisle,Plymouth,4,2
5,1999-08-29 00:00:00,Cheltenham,Barnet,1,2
5,1999-08-29 00:00:00,Chester,Rochdale,0,2
5,1999-08-29 00:00:00,Exeter,Mansfield,1,0
5,1999-08-29 00:00:00,Lincoln City,Swansea,0,1
5,1999-08-29 00:00:00,Macclesfield,Rotherham,1,1
5,1999-08-29 00:00:00,Peterborough,Darlington,4,2
5,1999-08-29 00:00:00,Southend,Leyton Orient,1,1
5,1999-08-29 00:00:00,York,Northampton,0,1
5,1999-08-30 00:00:00,Brighton,Hull City,3,0
5,1999-08-30 00:00:00,Halifax,Torquay,2,0
5,1999-08-30 00:00:00,Shrewsbury,Hartlepool,0,0
6,1999-09-02 00:00:00,Hull City,Chester,2,1
6,1999-09-02 00:00:00,Leyton Orient,Shrewsbury,1,2
6,1999-09-02 00:00:00,Mansfield,Peterborough,3,1
6,1999-09-02 00:00:00,Rochdale,Halifax,0,1
6,1999-09-03 00:00:00,Darlington,Exeter,1,0
6,1999-09-03 00:00:00,Hartlepool,Southend,1,2
6,1999-09-03 00:00:00,Northampton,Carlisle,0,0
6,1999-09-03 00:00:00,Rotherham,York,1,0
6,1999-09-03 00:00:00,Torquay,Lincoln City,5,2
6,1999-09-04 00:00:00,Barnet,Macclesfield,2,1
6,1999-09-04 00:00:00,Plymouth,Brighton,3,3
7,1999-09-10 00:00:00,Carlisle,Lincoln City,1,0
7,1999-09-10 00:00:00,Chester,Exeter,1,1
7,1999-09-10 00:00:00,Halifax,Brighton,2,1
7,1999-09-10 00:00:00,Macclesfield,Southend,1,2
7,1999-09-10 00:00:00,Mansfield,Leyton Orient,1,1
7,1999-09-10 00:00:00,Northampton,Hartlepool,2,1
7,1999-09-10 00:00:00,Plymouth,Rotherham,1,1
7,1999-09-10 00:00:00,Rochdale,Darlington,0,0
7,1999-09-10 00:00:00,Swansea,Barnet,1,2
7,1999-09-10 00:00:00,Torquay,Hull City,0,1
7,1999-09-10 00:00:00,York,Peterborough,0,0
7,1999-09-11 00:00:00,Cheltenham,Shrewsbury,0,1
8,1999-09-17 00:00:00,Barnet,Northampton,2,1
8,1999-09-17 00:00:00,Brighton,Chester,2,3
8,1999-09-17 00:00:00,Darlington,Mansfield,0,0
8,1999-09-17 00:00:00,Exeter,York,2,1
8,1999-09-17 00:00:00,Hartlepool,Plymouth,3,0
8,1999-09-17 00:00:00,Hull City,Swansea,2,0
8,1999-09-17 00:00:00,Leyton Orient,Torquay,0,2
8,1999-09-17 00:00:00,Lincoln City,Macclesfield,1,1
8,1999-09-17 00:00:00,Peterborough,Cheltenham,1,0
8,1999-09-17 00:00:00,Rotherham,Rochdale,0,1
8,1999-09-17 00:00:00,Shrewsbury,Carlisle,4,1
8,1999-09-17 00:00:00,Southend,Halifax,4,1
9,1999-09-23 00:00:00,Mansfield,Shrewsbury,4,0
9,1999-09-24 00:00:00,Brighton,Cheltenham,1,0
9,1999-09-24 00:00:00,Chester,Lincoln City,1,3
9,1999-09-24 00:00:00,Darlington,Plymouth,2,0
9,1999-09-24 00:00:00,Exeter,Macclesfield,0,3
9,1999-09-24 00:00:00,Halifax,Carlisle,5,2
9,1999-09-24 00:00:00,Hull City,York,1,1
9,1999-09-24 00:00:00,Leyton Orient,Hartlepool,2,1
9,1999-09-24 00:00:00,Rochdale,Swansea,0,0
